document	label
Who won a Pulitzer Prize for his novel The Caine Mutiny ?	3
What hard-of hearing artist painted Sunflowers ?	3
Where can I find information on George Bush ?	4
Who portrayed `` the man without a face '' in the movie of the same name ?	3
What film ends with the line : `` This is Mrs. Norman Maine '' ?	1
What is the youngest age a boy or girl can have an orgasm ?	5
How many Community Chest cards are there in Monopoly ?	5
Where is the Thomas Edison Museum ?	4
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?	1
What is a reliable site that I can download Heretic 2 ?	4
Who reports the weather on the `` Good Morning America '' television show ?	3
What do I call the sons and daughters of my first cousins ?	1
What European country is home to the beer-producing city of Budweis ?	4
What is the elevation of St. Louis , MO ?	5
How many claws has a lobster called a pistol lost ?	5
What city was Bobby Kennedy assassinated in ?	4
How many flavors of ice cream does Howard Johnson 's have ?	5
When did Iraqi troops invade Kuwait ?	5
What is nuclear power ?	0
What is the difference between terry cloth and French terry ?	0
What California bridge was Don Brown the first to cross , on May 27 , 1937 ?	4
Who is the prime minister of Japan ?	3
On what date did Rosa Parks Become a symbol of the civil rights movement for refusing to give up her seat on the bus ?	5
How do vending machines tell if your dollar is a 1 or a 5 ?	0
What happened in the city of Dogtown in 1899 ?	0
What is the origin of a.m. and p.m. ?	0
What city is often called The Insurance Capital of the World ?	4
What is Win Rah ?	0
What is the term for a group of geese ?	1
The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?	1
What does the `` blue ribbon '' stand for ?	2
What is the sales tax rate in New York ?	5
What is a fear of hell ?	1
When will Jean Aeul publish her next book ?	5
How far is London UK from California ?	5
Name a country that is developing a magnetic levitation railway system ?	4
What state has the least amount of rain per year ?	4
How long after intercourse does it take to find out if you are pregnant ?	5
What 's distinctive about a palmiped 's feet ?	0
What does camera-ready art mean ?	0
Who was Charles Lindbergh 's wife ?	3
What character in The Beverly Hillbillies has the given names Daisy Moses ?	3
What 's the abbreviation for trinitrotoluene ?	2
What 1927 silent film received an international revival in 1981 ?	1
What is the feudal system ?	0
What does the Greek word polis mean , as in Minneapolis ?	0
What is the snowiest city in the U.S. ?	4
Who was the author of `` John Brown 's Body '' ?	3
How do I find out the exact time of a sunset for a particular day ?	0
How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?	5
What are the four most widely-used languages in North America ?	1
In Waugh 's `` A Handful of Dust , '' what does the mad old man force the hero to do every afternoon ?	0
Who won two gold medals in skiing in the Olympic Games in Calgary ?	3
What city is the Kentucky Horse Park near ?	4
What is paracetamol ?	0
What does Inuit and Eskimo mean ?	0
Whose acceptance speech of more than 3 minutes prompted a time limit on Academy Award thank-yous ?	3
What is an Angelus ?	0
When is the Jimmy Buffett concert coming to the E center in Camden NJ ?	5
Who made the rotary engine automobile ?	3
What 's known as The queen of Drinks ?	1
How tall is the Matterhorn ?	5
What is the meaning of the name Ella ?	0
What is the name of the ` female ' counterpart to El Nino , which results in cooling temperatures and very dry weather ?	1
What are the names of Jack 's original roommates on Three 's Company ?	3
What is the meaning of caliente , in English , ?	0
What is the gestation period for a cat ?	5
What famed river was Hernando de Soto the first European to see ?	4
What was the 1940 annual salary for a boilermaker ?	5
What are the distinct physical characterstics of the Arabian horse ?	0
What sport is played on the largest field ?	1
How were the days of the week named ?	0
Where did Howard Hughes die ?	4
What state is Niagara Falls located in ?	4
How can you get rust stains out of clothing ?	0
What 's the farthest planet from the sun ?	4
What Pope inaugurated Vatican International Radio ?	3
Which infectious disease kills the most people worldwide ?	1
Who is Langston Hughes ?	3
What is the lowest level of the American judiciary ?	1
What is the most important nation in the world , historically ?	4
Where can I buy a pony on the Big Island for my daughter ?	4
When did the vesuvius last erupt ?	5
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?	3
What is predicted to topple over between 2010 and 2020 ?	1
When was Lyndon B. Johnson born ?	5
How did people respond to the idea of the first millenium ?	0
What time of year do most people fly ?	5
What does a phobophobe fear ?	1
What baseball team was the first to make numbers part of their uniform ?	3
What star-faring race brought about the Inhumans on Marvel 's Earth ?	1
How many millimeters are in a mile ?	5
What does the name Kelly mean ?	0
Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?	3
For what reason did some San Diego schools stop serving apples ?	0
What does the method called `` cold fusion '' create ?	1
What 's the world 's most common compound ?	1
What do the 12 days of Christmas mean ?	0
When does the Bible say the seasons started ?	5
What is the organizational structure of the New Delhi Indira Gandhi airport ?	1
What 's the favorite food of dragonflies ?	1
What is `` alternative '' anymore ?	0
Where does the tennis star Stefan Edberg come from ?	4
What are the Baltic States ?	0
What is an aurora ?	0
What English queen had six fingers on one hand ?	3
How does the Nintendo `` Zapper '' work ?	0
How much caffeine is in a 16 oz cup of coffee ?	5
What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?	1
What 's the name of the temple that is located near the capital city of Laos ?	4
What household products are there for adult acne ?	1
What is the definition of cosmology ?	0
Approximately how many students are enrolled at the University of Massachusetts ?	5
Who 's baby was Sweet Pea on the Popeye cartoon ?	3
What are the five basic swimming strokes ?	1
What does USPS stand for ?	2
What are the largest deserts in the world ?	4
What is Garry Kasparov famous for ?	0
When not adventuring on Rann , what does Adam Strange call his profession ?	3
What 's a perfect score in a gymnastics exercise ?	5
What is the only substance that gives food its `` taste '' when eaten ?	1
What country was Sir Edmund Hillary born in ?	4
What two states is Washington D.C. between ?	4
How can I register my website in Yahoo for free ?	0
What does `` E Pluribus Unum '' on the penny mean ?	0
What two countries contain Sierra Nevada mountains ?	4
How many frames does a disk camera shoot ?	5
Who was the first Russian astronaut to walk in space ?	3
What will the increase be in the California gas tax by 2000 ?	5
How many people lived in Nebraska in the mid 1900s ?	5
Who is the congressman from state of Texas on the armed forces committee ?	3
On which flight did Fawaz Younis commit air piracy and hostage taking ?	1
What did the Confederate Constitution say about slavery ?	0
What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?	3
What is a person 's socioeconomic position ?	0
What Marx Brothers movie centers on a stolen painting ?	1
How does a hydroelectric dam work ?	0
When was Algeria colonized ?	5
What is a hydrogen bond ?	0
What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?	1
What is the brand name of daminozide ?	1
Who was America 's first Public Enemy No. 1 ?	3
In order from the top , the four stripes on a can of Pepsi are what colors ?	1
Where is former Pro wrestler Johnny `` Rubber Man '' Walker ?	4
What word occurs 46 , 227 times in the Bible ?	1
How many quarters equal a pound ?	5
What are the only players eligible to score points in Roller Derby called ?	3
Who is the richest person in the world , without owning a business ?	3
What is office automation ?	0
What is fungus ?	0
What kind of greeting is appropriate to send on Yom Kippur ?	0
Name the five positions who are in the line of succession to the presidency .	3
Who was the president of Vichy France ?	3
What is a shaman ?	0
What 's the Red Planet ?	0
What is cryptography ?	0
How many students attend the University of Massachusetts ?	5
What Catch-22 character is elected mayor of half a dozen Italian cities ?	3
What is the longest-running television series ?	1
What piece of jewelry is pictured on Monopoly 's Luxury Tax space ?	1
What contemptible scoundrel stole the cork from my lunch ?	3
What is the first book of the Old Testament ?	1
What is a Jake brake ?	0
When did the American Civil War end ?	5
What is e-commerce ?	0
How can you prevent it ?	0
How many people was Randy Craft convicted of killing ?	5
What planet did Percival Lovell discover ?	4
What is a nanometer ?	0
How many athletes did Puerto Rico enter in the 1984 Winter Olympics ?	5
Who was the Columbia Pictures head who forged actor Cliff Robertson 's name on a $1 , 000 check ?	3
Who was the star of the 1965 Broadway hit Golden Boy ?	3
What is the Islamic equivalent of the Red Cross ?	1
What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''	0
How long do hermit crabs live ?	5
Saddam Hussein was compared to whom by President Bush ?	3
What good are mosquitoes ?	0
What seven digits follow the area code in the number for long distance information ?	5
What 's a `` coup de poing '' to a French boxer ?	0
What is the address for the main government office in Rome , Italy ?	4
What animals do you find in the stock market ?	1
What happened to Answers.com ?	0
What was the name of the Titanic 's captain ?	3
What is the first personal computer company ?	3
Who does data collection in tourism ?	3
Who discovered radium ?	3
What city does Orly Airport serve ?	4
How do cameras take pictures ?	0
What was the top box office movie in April 1998 ?	1
Who painted the Sistine Chapel ?	3
Where did George of the Jungle live ?	4
How do I start a bank ?	0
How many people live in Tokyo ?	5
What does the term glory hole mean ?	0
How much was a ticket for the Titanic ?	5
Who was the first Taiwanese President ?	3
What does the acronym CPR mean ?	2
What is the murder rate in Windsor , Ontario ?	5
Mississippi is nicknamed what ?	1
Who held the endurance record for women pilots in 1929 ?	3
What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?	1
What was the first English play written exclusively for children ?	1
Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?	3
How can I find out what year a Beanie Baby was introduced ?	0
What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?	1
Who was the first woman governor of Wyoming ?	3
Who wrote ` Hamlet ' ?	3
What is the difference between a median and a mean ?	0
What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?	1
What are all the different kinds of contraceptives ?	1
What is Alice Cooper 's real name ?	3
Why is Rush 's 2112 called 2112 ?	0
What is the federal minimum wage ?	5
What is literary criticism ?	0
What is the average cost for four years of medical school ?	5
How can I get started in writing for television ?	0
What number is at 12 o 'clock on a dartboard ?	5
Where can I find the history of the Taiwanese language ?	4
What mountain range is traversed by the highest railroad in the world ?	4
What does MSG stand for ?	2
What powdered soft drink mix went into space ?	1
Who invented batteries ?	3
What TV show premiered on January 15 , 1981 ?	1
What is the length of border between the Ukraine and Russia ?	5
What 's the name of a golf course in Myrtle Beach ?	1
What was the Ventura County police department that seized the county 's largest amount of cocaine ever ?	3
What are Aborigines ?	0
How do you match a name to a social security number ?	0
Who did Sonny Liston succeed as world heavyweight boxing champion ?	3
What does `` antidisestablishmentarianism '' mean ?	0
What are the names of all the U.S. Navy aircraft carriers ?	1
Who is Karenna Gore , Al Gore 's oldest daughter , married to ?	3
How was the element calcium named ?	0
Where was `` I have fallen , and I can 't get up '' said first ?	4
What are the first ten amendements passed ?	1
What causes rust ?	0
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?	3
Who is the current prime minister and president of Russia ?	3
What does a nihilist believe in ?	0
Who invented the stock ticker in 1870 ?	3
How many endangered species are there in the world ?	5
Where are zebras most likely found ?	4
Why are the U.S. presidential elections held in November ?	0
How long do you have to live in a community to vote ?	5
What is hebephrenia ?	0
What blood sport features a movement called a veronica ?	1
What can communications satellites offer yachts ?	1
Jackson Pollock was a native of what country ?	4
What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?	3
What is average salary of restaurant manager in United States ?	5
What are the top 10 colleges in the United States in the field of engineering ?	3
What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?	1
How many members of a family could be drafted in the U.S. military during World War II ?	5
What name does the world know Renaissance artist Kyriakos Theotokopoulos by ?	3
What Cruise Line does Kathie Lee Gifford advertise for ?	3
Who kept the most famous diary in the English language ?	3
What did Edward Binney and Howard Smith invent in 1903 ?	1
What condiment do the Dutch dip their French fries in ?	1
What is the population of Mexico ?	5
How did Janice Joplin die ?	0
What city is near the mouth of the Amazon ?	4
How many hummingbird eggs could fit in one ostrich egg ?	5
Where can I find an Ask An Expert site ?	4
Where is the highest point in Japan ?	4
What country has declared one-fifth of its territory off-limits to Russians ?	4
How much time does the blinking of an eye take ?	5
What famous comic strip character died of acne ?	3
Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?	3
Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?	4
What is the mascot for Notre Dame University ?	1
What six-foot temperance advocate wielded her hatchet on saloons ?	3
What is molybdenum ?	0
What 's the second-largest island in the world ?	4
What nationality is Pope John Paul II ?	4
What wrestling star became `` The Incredible Hulk '' ?	3
What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?	3
What is the origin of thank you notes ?	0
What does the donation process entail ?	0
What country has the highest arson rate ?	4
What do you call a `` twirl '' in ballet ?	1
How do anti-locking brakes work ?	0
Who wrote The Look of Love after viewing Ursula Andress ?	3
How many times can a nickel-cadmium rechargeable battery be recharged ?	5
What city gained renown for its pea-soup fogs ?	4
What was the name of the cook on Rawhide ?	3
Where is the Holland Tunnel ?	4
What is Butterfield 8 in Butterfield 8 ?	0
What is a person called that likes fire ?	3
What cocktail do you concoct with whisky and sweet vermouth ?	1
What dumb-but-loveable character did Maurice Gosfield play on The Phil Silvers Show ?	3
How does a copier work ?	0
Madonna hocks which soft drink ?	1
When was the USSR dissolved ?	5
What is the student population at the University of Massachusetts in Amherst ?	5
Why does it snow ?	0
What is the principal river of Ireland ?	4
What is cache memory ?	0
What French province is cognac produced in ?	4
How old is too old for a child to not be talking ?	5
What five-time winner of the Kentucky Derby lost his first 25 races ?	1
What is the capital of Yugoslavia ?	4
What painter popularized soup cans and Brillo soap pad boxes ?	3
What was the name of Betty Boop 's dog ?	1
What is a carcinogen ?	0
What is neurology ?	0
How many bottles of wine were prisoners in the Bastille allowed per day ?	5
What did British companies stick 175 , 0 tons of tea into in 1982 ?	1
What is the history of yo-yos ?	0
What was the only country you were allowed to drive into Israel from in 1979 ?	4
What is the speed of light ?	5
About how many Americans are still unaccounted for from the Vietnam war ?	5
Winnie the Pooh is what kind of animal ?	1
Which company claimed to be `` the world 's biggest toy store '' ?	3
Who did Napolean defeat at Jena and Auerstadt ?	3
Name the four stories contained in Edith Wharton 's `` Old New York . ''	1
What is the melting point of gold ?	5
What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?	0
What 's the name of the Wilkes plantation in Gone with the Wind ?	4
When was Christ born ?	5
Where in the United States do people live the longest ?	4
How far is a nautical mile ?	5
What was the name of the television show , starring Karl Madsen , that had San Francisco in the title ?	1
What store does Martha Stewart advertise for ?	3
How many inches apart are adjacent pins in tenpin bowling ?	5
What color are school buses ?	1
Where is the Rose Bowl played ?	4
What according to the Kinsey Institute , is the sexual preference of four percent of American males ?	0
How much folic acid should a pregnant woman get each day ?	5
What is `` snoogans '' ?	0
What U.S. vice-president killed Alexander Hamilton in a duel ?	3
How did names come about ?	0
What is the origin of the word `` tampon '' ?	0
What is crabgrass ?	0
How much did Manchester United spend on players in 1993 ?	5
How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?	5
What percentage of all world tornados touch down in the US ?	5
What is chromatology ?	0
What are the first six words of Dickens 's A Tale of Two Cities ?	1
How do I increase my biceps ' size ?	0
What is Margaret Thatcher known for ?	0
What wheel did Blaise Pascal invent in a search for perpetual motion ?	1
Where does Buzz Aldrin want to build a permanent , manned space station ?	4
What are names of two old men who appear in the serial tv Muppets Show ?	3
Where did the real St. Nicholas live ?	4
What country 's capital is Tirana ?	4
Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?	0
What was the largest city in the world to declare martial law in 1989 ?	4
Who gave King Arthur the round table ?	3
What is the size of the student body at the University of Massachusetts in Amherst ?	5
Where is Sinn Fein 's headquarters ?	4
What is HDLC ?	2
Where can I find a person 's address from a telephone number ?	4
What are differences between 1980 and 1990 ?	0
Which college did Dikembe Mutombo play basketball at ?	3
What was Joe Namath 's first contract worth ?	5
What are all the different types of pizza ?	1
What causes the body to shiver in cold temperatures ?	0
What city contains the district of Hell 's Kitchen ?	4
Who was Buffalo Bill ?	3
Where can you find the Venus flytrap ?	4
What does idle mean ?	0
What U.S. city is The Queen of the Pacific ?	4
What fictional character is known as the `` melancholy Dane '' ?	3
What kind of weapons were used in Medieval warfare ?	1
What was the sequel to The Pink Panther ?	1
What album put The Beatles on the cover of Time in 1967 ?	1
What is the longest major league baseball-winning streak ?	1
What Mexican leader was shot dead in 1923 ?	3
What record company was formed by Herb Alpert and Jerry Moss ?	3
What does the name Gina mean ?	0
What card game can feature dealer 's choice ?	1
Who was the supreme god of Germanic religion ?	3
What is sonar ?	0
What animal has been called The Poor Man 's Cow ?	1
What does a philatelist collect ?	1
What country was Erich Honecker the leader of ?	4
Who is the Queen of Holland ?	3
How did U.S.A become involved in the Barbary Wars	0
How does the Elongated Man know a mystery is afoot ?	0
Where do hyenas live ?	4
What is the only vegetable that starts with `` z '' ?	1
What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?	3
When did CNN begin broadcasting ?	5
How many people in the USA say their number one source of information is the newspaper ?	5
Why is the universe flat , if it started by an explosion , shouldn 't it be a sphere ?	0
What was the death toll at the eruption of Mount Pinatubo ?	5
What does the six-footed Musca domestica become when it enters a house ?	1
How do I write to my Congressman ?	0
What knighted actor narrates TV 's The World at War ?	3
What is a fear of food ?	1
Developing nations comprise what percentage of the world 's population ?	5
What is the capital of Burkina Faso ?	4
Who runs Andy Capp 's favorite pub ?	3
What TV series features the adventures of a married couple named Jonathan and Jennifer ?	1
What is a horologist ?	0
How do they produce vitamins ?	0
What U.S. state ends with a G ?	4
What is Black Hills , South Dakota most famous for ?	0
What country did the ancient Romans refer to as Hibernia ?	4
When did Rococo painting and architecture flourish ?	5
What are the two cities in Dicken 's `` A Tale of Two Cities '' ?	4
Whose kidnaping was termed The Crime of the Century ?	3
What weapon did the crossed slits in English castles accommodate ?	1
What sign is The Water Carrier the zodiacal symbol for ?	1
Who is John Macarthur , 1767-1834 ?	3
Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?	3
What former president 's daughter has written a book titled Murder in the White House ?	3
What did the only repealed amendment to the U.S. Constitution deal with ?	0
How can you stop the itch from poison ivy ?	0
What is a tsunami ?	0
What sprawling U.S. state boasts the most airports ?	4
What is the busiest air travel season ?	5
How many people died when the Estonia sank in 1994 ?	5
What monarch signed the Magna Carta ?	3
What is a fear of cold ?	1
What U.S. state records the least rainfall ?	4
How many questions are on this thing ?	5
What was the name of Roy Rogers 's dog ?	1
How long did the Paris Commune hold out for against the rest of France ?	5
When was the first practical commercial typewriter marketed ?	5
What is the chemical reactivity of argon ?	5
How many hands does Bjorn Borg use when hitting his forehand ?	5
What was W.C. Fields ' real name ?	3
What colors make up a rainbow ?	1
What 's the home of the Rockettes ?	4
What are Maid-Rites ?	0
What Tokyo street glitters with famed department stores and nightclubs ?	4
What country boasts the most cars per mile of road ?	4
What should the temperature be set at while baking Peachy Oat Muffins ?	5
Where did marijuana come from ?	0
What date did Neil Armstrong land on the moon ?	5
When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?	5
In which Kevin Costner movie did Sioux Indians play a role ?	1
What is a `` False Moon '' ?	0
What cancer is commonly associated with AIDS ?	1
Name a film that has won the Golden Bear in the Berlin Film Festival ?	1
Who plays the cop in the movie `` Kindergarten Cop '' ?	3
Which mosquito 's bite draws blood , DT NN CC DT NN .	1
How did the U.S. come into the possession of an empire in the wake of the Spanish-American War ?	0
How many films did Ingmar Bergman make ?	5
What tennis term is said to come from the French word for egg ?	1
What is the difference between optical and digital video ?	0
What field sport did dentist William Beers promote and write a standard book of rules for ?	1
What sport can a free-legged pacer compete in ?	1
Why are haunted houses popular ?	0
Where was the first zoo in the U.S. ?	4
What Chilean president was killed in a 1973 coup d 'etat ?	3
What 's a Craps player called ?	1
Where do you find information about the Queensland National Competition Policy	4
How fast must a spacecraft travel to escape Earth 's gravity ?	5
Where is Los Vegas ?	4
What is cholesterol ?	0
Who was the first governor of Alaska ?	3
How hot should the oven be when making Peachy Oat Muffins ?	5
What 's the capital of Iowa ?	4
What is the name of the medical condition in which a baby is born without a brain ?	1
How do you make dumplings ?	0
Who is the richest person in the world ?	3
What two presidents of the U.S. published books of poetry ?	3
What is the name of the Michelangelo painting that shows two hands with fingers touching ?	1
What is the name of Miss India 1994 ?	3
How is bubble wrap made ?	0
What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history ?	3
What is thalassemia ?	0
Where is your corpus callosum ?	4
Who invented the hula hoop ?	3
What Caribbean island is northeast of Trinidad ?	4
Who was Darth Vader 's son ?	3
What is the `` 7-minute cigarette '' ?	0
Who is William Wordsworth ?	3
How much salt is in the oceans ?	5
What company started out making pies , and wound up manufacturing plastic throwing toys ?	3
What animal 's tail is called a brush ?	1
What does a defibrillator do ?	0
What former African leader held his country 's boxing title for nine years ?	3
What is a good book to read for people who hate to read ?	1
What country owns Corsica ?	4
What comedian has a legendary reputation for stealing jokes ?	3
What is the birthstone for June ?	1
Who wrote the sci-fi trilogy Foundation , Foundation and Empire , and Second Foundation ?	3
What ocean surrounds the Madeira Islands ?	4
How does it make its colors ?	0
What is a fear of trees ?	1
What is the origin of infinity ?	0
Who was the first woman to run the mile in less than 4 36893 minutes ?	3
What is the recommended weight of a 15 year-old male that is 5 , 6 ?	5
Where are the 49 steps ?	4
What J.R.R. Tolkien book features Gimli as a central character ?	1
How many referees work a soccer game ?	5
What is an example of an actual case of using the Fourteenth Amendment ?	0
To get the most caffeine , what soda should I drink ?	1
What soft drink tells us to `` Go Hawaiian '' ?	1
What are Bellworts ?	0
What king boycotted Prince Charles 's wedding ?	3
In what country is Lund ?	4
What is the origin of the word `` Teddy bear '' ?	0
Who is the son-in-law of Sen. Everett Dirkson who was also a senator in the '70 's ?	3
How many people in Tucson ?	5
Who was the only person convicted in the My Lai Massacre ?	3
Where can I get information on the original 13 US colonies ?	4
Who declared : `` I think I 'll go out and milk the elk '' ?	3
What American composer wrote the music for `` West Side Story '' ?	3
What fool is not so wise To lose an oath to win a paradise ?	3
What police force did Mack Sennett create ?	3
What were the names of the three ships used by Columbus ?	1
What does e.g. stand for ?	2
Who portrayed Dracula in Hammer Studios ' films ?	3
How do you get to the top of the Eiffel Tower ?	0
How much electricity does the brain need to work ?	5
Why can 't ostriches fly ?	0
What 's the state motto of California ?	0
What is the brand name of the chemical daminozide ?	1
What is Beethoven 's 9th symphony called ?	1
